date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_vehicles,cpi_shelter,gscpi,cpi_all_yoy,cpi_core_yoy,cpi_food_yoy,cpi_energy_yoy,cpi_vehicles_yoy,cpi_shelter_yoy,gscpi_lag1,gscpi_lag3,gscpi_lag6,gscpi_lag12
2011-08-01,226.106,225.862,229.634,246.88,151.312,252.329,-0.11344012294214709,3.75499603070808,1.9651571719433658,4.626389648259521,18.254538487330542,5.502719286013136,1.5694561848407895,0.2852502419005975,0.9208365466967703,0.33640860144133755,0.3054636060060529
2011-09-01,226.597,226.118,230.682,248.55,151.677,252.668,-0.5569840170434671,3.812621692818685,1.9877227562006272,4.751179507671899,18.451904380647388,5.307848255943104,1.6494480383637544,-0.11344012294214709,0.20112329017370126,0.717872289141265,0.358378272550351
2011-10-01,226.75,226.506,230.899,246.655,151.986,253.184,-0.3876705908798419,3.5222681306640524,2.1079204796465634,4.7061277610749075,13.818005629643304,5.316915316014503,1.8062503015778608,-0.5569840170434671,0.2852502419005975,1.5856339014470007,0.6778065829727472
2011-11-01,227.169,226.899,231.118,247.64,152.187,253.619,0.1391413724886984,3.451432214581729,2.138204538395394,4.603839852271596,12.822101541713726,5.137097498462873,1.857883554959372,-0.3876705908798419,-0.11344012294214709,0.9208365466967703,0.43047379088199095
2011-12-01,227.223,227.405,231.557,243.353,152.083,254.15,-0.05447324669884667,3.062066838419386,2.276662633858506,4.675089844721181,7.142605556289361,4.403133130590575,1.9519905007942873,0.1391413724886984,-0.5569840170434671,0.20112329017370126,0.676261028100661
2012-01-01,227.842,227.877,232.213,244.876,151.106,254.512,0.37315911624207454,3.0087663379855023,2.2773481506083826,4.379936080982061,6.812412216803776,3.159518835593045,1.9593704055347771,-0.05447324669884667,-0.3876705908798419,0.2852502419005975,0.7450732804677903
2012-02-01,228.329,228.034,232.14,248.898,149.893,254.951,-0.0003162414404230012,2.8981784423473878,2.1598204405657295,3.8639129501037983,7.252184704483167,2.538616245502201,2.011411469086588,0.37315911624207454,0.1391413724886984,-0.11344012294214709,0.33640860144133755
2012-03-01,228.807,228.478,232.591,249.742,149.265,255.474,-0.3778940414787536,2.5828752813320977,2.2483374654291177,3.2760098218131306,4.024925128811763,2.4847918926712786,2.1250569639987615,-0.0003162414404230012,-0.05447324669884667,-0.5569840170434671,0.717872289141265
2012-04-01,229.187,228.905,233.044,249.677,150.053,256.056,-0.32828226740224187,2.2731633741348567,2.314427851801515,3.0839732474609916,0.6855474499651182,3.0994489563150207,2.2538855965368976,-0.3778940414787536,0.37315911624207454,-0.3876705908798419,1.5856339014470007
2012-05-01,228.713,229.224,233.219,241.806,151.587,256.451,-0.6842856350769432,1.7379429374660749,2.252258280361308,2.766810610734116,-3.5645917748779565,3.489308828750093,2.3103008058725116,-0.32828226740224187,-0.0003162414404230012,0.1391413724886984,0.9208365466967703
2012-06-01,228.524,229.623,233.683,235.897,152.263,256.813,-0.7054029160173135,1.653870448297634,2.192285611289857,2.7110300419752598,-3.924914675767921,2.5215798758399632,2.2434289627276227,-0.6842856350769432,-0.3778940414787536,-0.05447324669884667,0.20112329017370126
2012-07-01,228.59,229.97,233.845,233.568,151.97,257.153,-0.6748081197908459,1.4175114798464783,2.109955687378462,2.347230854071647,-5.125778371725554,1.3329243653773082,2.112105593367075,-0.7054029160173135,-0.32828226740224187,0.37315911624207454,0.2852502419005975
2012-08-01,229.918,230.233,234.244,244.987,150.871,257.647,-0.13710144438680477,1.6859349154821235,1.9352524993137443,2.0075424370955552,-0.7667692806221704,-0.2914507772020736,2.107565915927223,-0.6748081197908459,-0.6842856350769432,-0.0003162414404230012,-0.11344012294214709
2012-09-01,231.015,230.659,234.404,252.987,149.647,258.233,-0.25924026771812797,1.9497168982819613,2.0082434834909124,1.6134765608066592,1.7851538925769406,-1.3383703527891533,2.202494973641289,-0.13710144438680477,-0.7054029160173135,-0.3778940414787536,-0.5569840170434671
2012-10-01,231.638,231.024,234.843,256.017,148.986,258.816,-0.011571121493668679,2.1556780595369363,1.9946491483669337,1.7081061416463372,3.7955849263140884,-1.9738660139749675,2.2244691607684386,-0.25924026771812797,-0.6748081197908459,-0.32828226740224187,-0.3876705908798419
2012-11-01,231.249,231.33,235.253,248.819,148.932,259.216,-0.3586160259250593,1.7960197033926262,1.9528512686261434,1.7891293624901605,0.47609433047972605,-2.1388160618187047,2.2068535874678163,-0.011571121493668679,-0.13710144438680477,-0.6842856350769432,0.1391413724886984
2012-12-01,231.221,231.725,235.677,244.708,149.243,259.644,-0.15650817148852506,1.7595049796895523,1.8996943778720743,1.779259534369504,0.5568043130760536,-1.8674013532084421,2.1617155223293327,-0.3586160259250593,-0.25924026771812797,-0.7054029160173135,-0.05447324669884667
2013-01-01,231.679,232.229,236.011,245.025,149.741,260.142,-0.07061393080594038,1.684061762098299,1.9098022178631435,1.6355673454974573,0.06084712262532932,-0.90333937765541,2.212076444332678,-0.15650817148852506,-0.011571121493668679,-0.6748081197908459,0.37315911624207454
2013-02-01,232.937,232.569,235.992,255.696,149.789,260.719,-0.3930786774419939,2.0181404902574807,1.9887385214485631,1.659343499612298,2.731239302846955,-0.06938282641618665,2.262395519138982,-0.07061393080594038,-0.3586160259250593,-0.13710144438680477,-0.0003162414404230012
2013-03-01,232.282,232.794,236.213,246.595,148.912,261.176,-0.5581860737350862,1.5187472411246183,1.8890221377988237,1.557239961993373,-1.2601004236371893,-0.23649214484304792,2.231929667989707,-0.3930786774419939,-0.15650817148852506,-0.25924026771812797,-0.3778940414787536
2013-04-01,231.797,232.832,236.655,240.473,148.577,261.679,-0.7469715952801083,1.138808047576867,1.715558856294086,1.549492799642982,-3.686362780712671,-0.9836524428035398,2.1960039991251845,-0.5581860737350862,-0.07061393080594038,-0.011571121493668679,-0.32828226740224187
2013-05-01,231.893,232.996,236.454,240.468,148.501,262.263,-0.8694107209867165,1.3903888279197085,1.6455519491850756,1.3871082544732793,-0.5533361455050789,-2.0357946261882476,2.266319881770773,-0.7469715952801083,-0.3930786774419939,-0.3586160259250593,-0.6842856350769432
2013-06-01,232.445,233.35,236.98,242.711,148.742,262.797,-0.6760553509498842,1.7157935271568725,1.6230952474272975,1.4108856870204578,2.888548815796743,-2.3124462279083047,2.330100111754474,-0.8694107209867165,-0.5581860737350862,-0.15650817148852506,-0.7054029160173135
2013-07-01,232.9,233.88,237.184,242.986,149.058,263.239,-0.6678801184039157,1.885471805415806,1.7002217680567089,1.4278688875109635,4.032230442526363,-1.916167664670665,2.3666844252254293,-0.6760553509498842,-0.7469715952801083,-0.07061393080594038,-0.6748081197908459
2013-08-01,233.456,234.336,237.451,244.833,149.539,263.86,-0.5820700563572863,1.538809488600279,1.782107690904433,1.3690852273697596,-0.06286047831108865,-0.8828734481776013,2.4114389067212194,-0.6678801184039157,-0.8694107209867165,-0.3930786774419939,-0.13710144438680477
2013-09-01,233.544,234.7,237.519,242.745,150.458,264.321,-0.29194497760355936,1.0947341081747997,1.7519368418314363,1.3289022371631987,-4.048429365935791,0.5419420369269012,2.357560807487813,-0.5820700563572863,-0.6760553509498842,-0.5581860737350862,-0.25924026771812797
2013-10-01,233.669,234.921,237.75,241.954,151.248,264.684,-0.20427587183169432,0.8767991434911471,1.686837731144819,1.237848264585284,-5.492994605826951,1.5182634609963275,2.2672477744807296,-0.29194497760355936,-0.6678801184039157,-0.7469715952801083,-0.011571121493668679
2013-11-01,234.1,235.359,237.947,242.718,151.993,265.496,-0.7083163559087471,1.2328701961954458,1.7416677473738762,1.145150114982596,-2.4519831684879367,2.055300405554217,2.422689957410018,-0.20427587183169432,-0.5820700563572863,-0.8694107209867165,-0.3586160259250593
2013-12-01,234.719,235.759,238.182,245.733,152.457,266.228,-0.5106473368391902,1.5128383667573297,1.7408566188369834,1.0628954034547222,0.41886656750085294,2.1535348391549247,2.535779759979051,-0.7083163559087471,-0.29194497760355936,-0.6760553509498842,-0.15650817148852506
2014-01-01,235.288,235.961,238.492,250.34,151.535,266.892,-0.6546029224773013,1.557758795574915,1.6070344358370292,1.0512221887962747,2.1691664115906617,1.1980686652286243,2.5947367207140637,-0.5106473368391902,-0.20427587183169432,-0.6678801184039157,-0.07061393080594038
2014-02-01,235.547,236.185,239.408,249.925,150.718,267.481,-0.2933048703244112,1.1204746347724948,1.5548073904948723,1.4475066951421978,-2.256977035229335,0.6202057560969143,2.593596937699205,-0.6546029224773013,-0.7083163559087471,-0.5820700563572863,-0.3930786774419939
2014-03-01,236.028,236.625,240.447,249.961,149.641,268.287,-0.6293654472137423,1.6126949139408042,1.6456609706435588,1.7924500345027683,1.3649911798698344,0.48955087568496314,2.722685085919063,-0.2933048703244112,-0.5106473368391902,-0.29194497760355936,-0.5581860737350862
2014-04-01,236.468,237.072,241.241,249.864,149.217,268.923,-0.8205650962914318,2.015125303606169,1.8210555250137483,1.9378420062960977,3.9052201286630783,0.43075307752882264,2.768277164006294,-0.6293654472137423,-0.6546029224773013,-0.20427587183169432,-0.7469715952801083
2014-05-01,236.918,237.529,242.408,249.213,149.006,269.715,-0.8332715854793054,2.166947687079812,1.9455269618362525,2.5180373349573237,3.636658515894009,0.3400650500670066,2.841422541494598,-0.8205650962914318,-0.2933048703244112,-0.7083163559087471,-0.8694107209867165
2014-06-01,237.231,237.837,242.646,249.714,148.921,270.149,-0.7031609264898643,2.0589816945944195,1.9228626526676562,2.390919064899988,2.885324521756316,0.12034260666120566,2.797596624010157,-0.8332715854793054,-0.6293654472137423,-0.5106473368391902,-0.6760553509498842
2014-07-01,237.498,238.195,243.235,248.744,149.216,270.891,-0.8257664788303449,1.9742378703305974,1.8449632290063356,2.551183890987585,2.3696838500983697,0.10599900709791221,2.90686410448302,-0.7031609264898643,-0.8205650962914318,-0.6546029224773013,-0.6678801184039157
2014-08-01,237.46,238.405,243.792,245.699,149.472,271.493,-0.6445784498473698,1.7150983482969062,1.73639560289498,2.6704456919532937,0.3537104883737152,-0.044804365416362124,2.892821951034641,-0.8257664788303449,-0.8332715854793054,-0.2933048703244112,-0.5820700563572863
